date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean_img,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean_aud,has_images,has_audio
2025-03-10,4409,863.7426423796209,203.27448781357648,110.4702671670696,60.23954718011527,1083806.7704694942,4376,-57.048479113326,-61.62071228027344,-51.1043815612793,0.0293971880284311,0.0074225133895538,5.250983394271786,42724.96046617916,True,True
2025-03-11,0,,,,,,3147,-56.34713219702338,-61.0831428527832,-50.35248870849609,0.0284296858443418,0.007492311821544,5.245335028069061,42679.81951064506,False,True
2025-03-12,0,,,,,,3053,-57.066118135399165,-61.62715530395508,-51.53976211547851,0.028991240123155,0.0068769592413861,5.254245660006551,42751.00655093351,False,True
2025-03-13,0,,,,,,3237,-56.37959812613303,-60.77838973999023,-50.94164505004883,0.0285231181740037,0.0070144197669481,5.252791679538667,42739.88198949645,False,True
2025-03-14,0,,,,,,3392,-56.54672422892642,-61.24192352294922,-50.80648422241211,0.0291919332321272,0.0071481285549403,5.249799724842768,42715.4445754717,False,True
2025-03-15,2643,178.1146111645183,130.93226075139077,117.96035792959096,41.75691311137417,601717.876276958,2641,-57.279404552449606,-61.39824295043945,-52.39259719848633,0.0322322518668167,0.007625896133318,5.246293323236148,42687.552820901175,True,True
2025-03-16,0,,,,,,2136,-56.587307665678445,-60.48842430114746,-52.15185737609863,0.0383061660025646,0.0089743179598496,5.248644506866417,42706.215355805245,False,True
2025-03-17,2775,167.27415464727085,120.67065248966256,116.1539074670977,45.04854085275973,610854.6378378378,2773,-56.37153405933401,-60.49961929321289,-51.58965301513672,0.0401367816026208,0.0111509233106352,5.25184084625556,42731.78831590335,True,True
2025-03-18,3022,292.3209546849945,158.81349252086895,111.60635121536662,54.16097342169319,797135.181336863,3017,-56.72881815691914,-61.19825744628906,-51.229611206054685,0.0308616419889906,0.0075346993554581,5.246835929731521,42691.86741796487,True,True
2025-03-19,0,,,,,,3366,-56.04685540859429,-60.83530426025391,-49.84571266174317,0.0286012056575804,0.0076327876198478,5.247056644880175,42693.86809269162,False,True
2025-03-20,0,,,,,,3203,-56.31979556624085,-60.69275665283203,-51.12705383300781,0.0338167022855345,0.0078925868995803,5.25146799875117,42729.35404308461,False,True
2025-03-21,0,,,,,,3468,-55.72765325152475,-59.97159500122071,-50.65615272521973,0.0273575120081555,0.0061540422811527,5.249677047289503,42714.491637831605,False,True
2025-03-22,2978,198.4756980723157,143.3579401608904,114.75603120408952,49.44776830511204,710964.5752182673,2972,-56.75405647873397,-61.28485336303711,-51.11215972900391,0.0287334706846633,0.0073553902088816,5.249040601166442,42709.75,True,True
2025-03-23,0,,,,,,2257,-57.486116540289366,-61.92387084960938,-52.128439331054686,0.0280568581739697,0.0069309142935934,5.251683650863979,42730.815684537,False,True
2025-03-24,0,,,,,,2833,-55.6160825068901,-59.48133087158203,-51.0646255493164,0.0470886088430173,0.0152566671893821,5.257125073538063,42774.16448993999,False,True
2025-03-25,0,,,,,,3292,-56.21071069527368,-60.83634681701661,-50.61438903808593,0.0308583698249438,0.0078035182566766,5.248341028756582,42704.25698663427,False,True
2025-03-26,0,,,,,,3433,-56.58796678282518,-61.26365814208985,-51.1026985168457,0.0304967589114901,0.0076167577970998,5.24885950092242,42708.2324497524,False,True
2025-03-27,3568,211.26118236421337,154.14642623714454,111.91370254596666,54.37256325641047,740132.6886210763,3566,-56.35794159754969,-61.27241325378418,-50.39603614807129,0.0282683063707972,0.0070423830136143,5.249809123200598,42715.90185081324,True,True
2025-03-28,3574,209.30167508550804,153.52598141197373,115.32226277246386,49.23336380077729,717365.8363178511,3568,-56.57509856320283,-61.1640811920166,-50.95108413696289,0.0287411245153545,0.0069768994448417,5.250553624813153,42721.40134529148,True,True
2025-03-29,3075,205.41725217473467,136.87310428787052,116.5194119321132,45.88054536293649,707900.685203252,3069,-56.48722978071733,-60.83396987915039,-51.56046447753906,0.0303758437781376,0.0078957174732271,5.247407407407407,42696.63310524601,True,True
2025-03-30,0,,,,,,2238,-56.85231904412509,-60.688925933837886,-52.742404556274415,0.0372561965962291,0.0075129075984121,5.251200774501043,42726.35031277927,False,True
2025-03-31,3095,199.1236041739207,129.79649519546058,117.39957005776112,41.459096745773216,572986.8180936995,3089,-56.19454252700584,-60.35538864135742,-51.297489166259766,0.0385811225341513,0.0082847118517493,5.253674544081147,42746.98575590806,True,True
2025-04-01,0,,,,,,3364,-56.169163703351465,-60.66977767944336,-50.895674514770505,0.0301608078853749,0.0068097947047576,5.250276456599287,42719.25475624257,False,True
2025-04-02,2444,1863.7789288877195,1468.5657693153228,113.94721605522732,71.9637477121578,1720041.722585925,5887,-56.457429443613385,-60.91758422851562,-51.12637939453125,0.0300438360868826,0.0072171669883564,5.250154691127343,42718.67997282147,True,True
2025-04-03,0,,,,,,5983,-56.32002482477208,-60.510589599609375,-51.138214111328125,0.0384943998644166,0.0088958415071173,5.250796590339295,42723.784054822,False,True
2025-04-04,0,,,,,,5144,-56.45328010037009,-61.45904655456543,-50.17363739013672,0.0304161220043353,0.0082630230779501,5.249454898911353,42713.08650855366,False,True
2025-04-05,0,,,,,,2633,-55.668919741133976,-59.55031814575196,-51.574639892578126,0.0381780892055169,0.0124531305714462,5.249357640207621,42711.8868211166,False,True
2025-04-06,0,,,,,,2309,-56.9996613229493,-60.79935607910157,-52.96835174560547,0.0379745286828245,0.0080633969568255,5.250434820268514,42720.62667821568,False,True
2025-04-07,0,,,,,,2983,-55.776432895436606,-59.633157348632814,-51.60066375732422,0.042595256013649,0.0081243611414953,5.251962230416806,42732.72343278579,False,True
2025-04-08,0,,,,,,3146,-55.94441035077288,-60.202781677246094,-50.58496856689453,0.0329075360250725,0.0081280131201642,5.248932400932401,42708.60584869676,False,True
2025-04-09,0,,,,,,3475,-56.28174971985303,-61.42041015625,-50.4149642944336,0.0269432847068798,0.0084257064114011,5.246722494004796,42691.08748201439,False,True
2025-04-10,0,,,,,,4008,-55.08900890616837,-60.50824127197266,-48.48296546936035,0.0252988849798649,0.0090486912956493,5.249792082501663,42715.6377245509,False,True
2025-04-11,0,,,,,,3717,-56.08315884916251,-60.231204986572266,-51.34197540283203,0.0353056408124329,0.0077119226509214,5.253079544435477,42741.98278181329,False,True
2025-04-12,0,,,,,,2459,-57.55319385908638,-61.33224792480469,-53.383026885986325,0.0368705116865587,0.0089076565558991,5.252536532465772,42737.78568523791,False,True
2025-04-13,0,,,,,,2332,-57.04068651330205,-61.12851295471192,-52.19030151367187,0.0341993009006581,0.0076585847500386,5.246603773584906,42690.06089193825,False,True
2025-04-14,3238,258.6460594382994,167.31109582828293,113.65677113383136,51.99393417462765,785774.7674490426,3231,-56.129223166807854,-61.15287399291992,-49.713863372802734,0.0287280900269829,0.0079833366070917,5.25127040132054,42727.692355307954,True,True
2025-04-15,0,,,,,,3470,-54.61480234899164,-61.11098632812501,-46.542082977294925,0.0248958969032817,0.0083884286041774,5.248644188280499,42706.798847262246,False,True
2025-04-16,0,,,,,,3385,-56.842154968013794,-61.44162521362305,-51.3059310913086,0.0282819713759458,0.0069164907557417,5.250889807976366,42724.08212703102,False,True
2025-04-17,3533,225.8312686655716,155.66389513104636,112.319007892372,55.74300889460056,763198.6841211435,3525,-56.77132191543038,-61.69497680664063,-50.63052673339844,0.0254457303522056,0.0066459847757561,5.250485673758865,42721.36085106383,True,True
2025-04-18,0,,,,,,3556,-56.09094603552459,-60.97182273864746,-50.02371788024902,0.0260307542635593,0.0070224643941395,5.248682789651293,42706.71653543307,False,True
2025-04-19,3808,236.90548345818328,178.9089711768219,117.22077825339834,47.81545512778941,747241.7258403362,3774,-55.82063063958617,-61.29324989318848,-47.7353717803955,0.0250477801938818,0.0079749167167834,5.243504327857269,42665.52437731849,True,True
2025-04-20,0,,,,,,2696,-57.69113521123145,-61.94667053222656,-52.705671310424805,0.0253239552022967,0.006055896915221,5.251314045499505,42727.68991097923,False,True
2025-04-21,0,,,,,,3142,-56.43144876770272,-61.16777420043945,-50.99767227172851,0.0285435162710025,0.0071016569054248,5.246166772756205,42686.893380012734,False,True
2025-04-22,0,,,,,,3544,-56.13115333918793,-61.28905334472656,-49.655186462402334,0.0280088043735932,0.0081019309972209,5.249131301730624,42710.227990970656,False,True
2025-04-23,0,,,,,,3743,-56.64595603331378,-61.80524291992188,-50.21537399291992,0.0249904463657442,0.0066225938453383,5.249395137590168,42712.70077477959,False,True
